PN,ATA,ALT_KATEGORI,AILE,MODEL,KRITIKLIK,ATOLYE,TEMIN_KANALI,LEAD_TIME_GUN,TALEP_2025,CEYREK_ORAN_2025_SBA,FILO_BUYUME_KATSAYISI,TALEP_2033_YILLIK,SERVIS_SEVIYESI_HEDEF,EMNIYET_STOGU,MIN_2025,MAX_2025,MIN_2033,MAX_2033,SCRAP_ORANI,SCRAP_2033_YILLIK,AOG_RISK_SKORU,ALARM_2033
PN-103281,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,54.0,28,7.0,3.75,102.3,0.98,8.0,10.0,17.0,24.0,50.0,0.107,11.0,87.3,True
PN-102604,72,ENGINE,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,49.0,117,29.25,3.81,433.9,0.98,16.0,25.0,55.0,75.0,184.0,0.034,14.8,86.7,True
PN-103307,24,ELECTRICAL POWER,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,45.0,50,12.5,3.81,186.3,0.98,10.0,13.0,26.0,33.0,80.0,0.06,11.2,85.7,True
PN-100406,32,LANDING GEAR,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,63.0,17,4.25,3.75,61.5,0.98,7.0,7.0,12.0,18.0,34.0,0.118,7.2,85.7,True
PN-104752,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,65.0,13,3.25,3.81,48.1,0.98,7.0,7.0,11.0,16.0,29.0,0.154,7.4,85.4,True
PN-102942,72,ENGINE,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,43.0,89,22.25,3.81,326.8,0.98,13.0,18.0,41.0,52.0,134.0,0.056,18.4,85.2,True
PN-102566,73,ENGINE FUEL AND CONTROL,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,57.0,19,4.75,3.75,69.9,0.98,7.0,7.0,12.0,18.0,36.0,0.053,3.7,85.0,True
PN-104898,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,44.0,30,7.5,3.75,110.6,0.98,8.0,8.0,16.0,22.0,50.0,0.133,14.7,85.0,True
PN-101058,32,LANDING GEAR,AIRBUS,A350-900,KRİTİK,YOK,Yurtdışı tamir,97.0,75,18.75,3.75,278.0,0.95,15.0,28.0,47.0,89.0,159.0,0.133,37.1,84.6,True
PN-101730,73,ENGINE FUEL AND CONTROL,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,66.0,11,2.75,3.75,40.4,0.98,6.0,5.0,8.0,14.0,25.0,0.0,0.0,84.5,True
PN-103439,74,IGNITION,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,39.0,39,9.75,3.81,145.2,0.98,9.0,10.0,20.0,25.0,62.0,0.179,26.1,84.2,True
PN-100214,72,ENGINE,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,37.0,91,22.75,3.81,338.3,0.98,13.0,17.0,40.0,48.0,133.0,0.143,48.3,83.7,True
PN-104338,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,50.0,18,4.5,3.75,66.6,0.98,7.0,7.0,12.0,17.0,34.0,0.056,3.7,82.9,True
PN-104544,32,LANDING GEAR,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,38.0,27,6.75,3.75,98.5,0.98,7.0,7.0,14.0,18.0,43.0,0.111,10.9,82.8,True
PN-101490,28,FUEL,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,35.0,70,17.5,3.75,260.2,0.98,11.0,13.0,31.0,36.0,102.0,0.2,52.0,82.7,True
PN-100319,72,ENGINE,BOEING,777-300ER,AOG KRİTİK,YOK,Yurtdışı tamir,101.0,51,12.75,1.67,83.0,0.98,10.0,23.0,36.0,33.0,54.0,0.098,8.1,82.6,False
PN-101212,32,LANDING GEAR,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,34.0,131,32.75,3.75,474.7,0.98,14.0,21.0,54.0,59.0,178.0,0.122,58.0,82.5,True
PN-102145,32,LANDING GEAR,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,45.0,21,5.25,3.75,76.4,0.98,7.0,7.0,13.0,17.0,37.0,0.0,0.0,82.5,True
PN-102767,80,STARTING,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,31.0,41,10.25,3.81,152.3,0.98,8.0,8.0,19.0,21.0,60.0,0.171,26.0,82.1,True
PN-102042,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,55.0,11,2.75,3.75,39.6,0.98,6.0,5.0,8.0,12.0,22.0,0.091,3.6,81.6,True
PN-101281,72,ENGINE,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,39.0,20,5.0,3.81,75.0,0.98,6.0,7.0,12.0,15.0,34.0,0.05,3.7,81.3,True
PN-100003,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,53.0,10,2.5,3.81,37.1,0.98,5.0,5.0,8.0,11.0,21.0,0.1,3.7,81.3,True
PN-100676,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,47.0,14,3.5,3.81,52.8,0.98,6.0,5.0,9.0,13.0,27.0,0.0,0.0,81.2,True
PN-104068,72,ENGINE,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,28.0,46,11.5,3.75,169.7,0.98,8.0,8.0,20.0,22.0,65.0,0.152,25.8,81.0,True
PN-101670,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Satınalma,28.0,68,17.0,3.75,250.5,0.98,10.0,11.0,28.0,30.0,93.0,0.118,29.5,81.0,True
PN-101834,31,INDICATING / RECORDING SYSTEMS,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,46.0,14,3.5,3.81,51.7,0.98,6.0,5.0,9.0,13.0,26.0,0.143,7.4,80.9,True
PN-101047,49,AIRBORNE AUXILIARY POWER (APU),BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,30.0,27,6.75,3.75,98.0,0.98,6.0,7.0,14.0,15.0,40.0,0.185,18.1,80.8,True
PN-100269,49,AIRBORNE AUXILIARY POWER (APU),BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,27.0,33,8.25,3.75,121.9,0.98,7.0,7.0,16.0,17.0,48.0,0.03,3.7,80.7,True
PN-102525,29,HYDRAULIC POWER,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,55.0,8,2.0,3.75,28.8,0.98,5.0,5.0,7.0,10.0,18.0,0.25,7.2,80.6,True
PN-103618,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,59.0,1,0.85,3.81,13.3,0.98,4.0,3.0,4.0,7.0,11.0,0.0,0.0,80.5,True
PN-103144,72,ENGINE,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,26.0,60,15.0,3.75,219.6,0.98,9.0,10.0,25.0,25.0,80.0,0.067,14.6,80.4,False
PN-103750,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,30.0,24,6.0,3.81,89.3,0.98,6.0,5.0,11.0,14.0,37.0,0.208,18.6,80.4,True
PN-102125,27,FLIGHT CONTROLS,AIRBUS,A350-900,AOG KRİTİK,YOK,Satınalma,41.0,17,4.25,3.75,62.7,0.98,6.0,5.0,10.0,14.0,30.0,0.059,3.7,80.2,True
PN-103047,72,ENGINE,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,48.0,12,3.0,3.75,43.7,0.98,5.0,5.0,8.0,11.0,22.0,0.0,0.0,80.2,True
PN-101183,32,LANDING GEAR,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,47.0,83,20.75,2.96,241.2,0.98,12.0,18.0,39.0,44.0,105.0,0.133,32.0,80.2,True
PN-101448,72,ENGINE,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,44.0,13,3.25,3.81,48.6,0.98,5.0,5.0,9.0,11.0,24.0,0.154,7.5,80.1,True
PN-103095,72,ENGINE,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,32.0,23,5.75,3.75,84.9,0.98,6.0,6.0,12.0,14.0,36.0,0.174,14.8,80.0,True
PN-104545,72,ENGINE,BOEING,787-9,AOG KRİTİK,YOK,Yurtdışı tamir,55.0,5,1.35,3.75,19.7,0.98,4.0,3.0,5.0,7.0,12.0,0.0,0.0,79.7,True
PN-104568,29,HYDRAULIC POWER,AIRBUS,A321neo,AOG KRİTİK,YOK,Yurtdışı tamir,45.0,95,23.75,2.96,271.4,0.98,12.0,20.0,44.0,46.0,114.0,0.032,8.6,79.7,True
PN-102078,27,FLIGHT CONTROLS,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,45.0,45,11.25,2.96,131.5,0.98,9.0,11.0,23.0,26.0,59.0,0.111,14.6,79.7,True
PN-100268,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,AOG KRİTİK,YOK,Yurtdışı tamir,54.0,3,1.11,3.81,16.6,0.98,4.0,3.0,5.0,7.0,12.0,0.0,0.0,79.6,True
PN-101329,29,HYDRAULIC POWER,AIRBUS,A350-900,AOG KRİTİK,YOK,Yurtdışı tamir,26.0,26,6.5,3.75,95.7,0.98,6.0,5.0,12.0,13.0,37.0,0.154,14.7,79.5,True
PN-100041,72,ENGINE,AIRBUS,A321neo,AOG KRİTİK,YOK,Satınalma,52.0,29,7.25,2.96,84.1,0.98,8.0,10.0,18.0,20.0,42.0,0.103,8.7,79.4,True
PN-101554,32,LANDING GEAR,BOEING,737 MAX 8,AOG KRİTİK,YOK,Satınalma,41.0,13,3.25,3.81,48.6,0.98,5.0,5.0,9.0,11.0,24.0,0.308,15.0,79.3,True
